"GRANT NUMBER","BUDGET ENTITY","HEAD OF ACCOUNT","HEAD DESCRIPTION","HEAD DESCRIPTION ASSAMESE","Major Head","Sub-Major Head","Minor Head","Sub-Minor Head","Detailed Head","Object Head","Voucher Head","Scheme","Area","Voted_Charged","Actuals_2016_17","Budget_Estimates_2017_18","Revised_Estimates_2017_18","Budget_Estimates_2018_19"
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-06-01-EE-KN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Rents, Rates & Taxes / Royalty$Rents for Hired Building","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$ভাড়া, নিৰিখ আৰু কৰ/ ৰয়েল্টি$ঘৰ ভাড়াৰ নিৰিখ","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Rents, Rates & Taxes / Royalty","Rents for Hired Building","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,4,4,4
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-04-EE-KN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Other Allowance","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$অন্যান্য অধিেদয় ভাত্তা","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Other Allowance","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,2.088,2.088,2.1
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-05-01-EE-KN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Payment for Professional and Special Services$Remuneration for Professional Services","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$বৃত্তিগত আৰু বিশেষ সেৱাসমূহৰ বাবে পৰিশোধ$বৃত্তিগত সেৱাৰ বানচ","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Payment for Professional and Special Services","Remuneration for Professional Services","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,0.15,0.15,0.2
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-06-01-EE-KN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Rents, Rates & Taxes / Royalty$Rents for Hired Building","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$ভাড়া, নিৰিখ আৰু কৰ/ ৰয়েল্টি$ঘৰ ভাড়াৰ নিৰিখ","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Rents, Rates & Taxes / Royalty","Rents for Hired Building","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,4,4,4
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-04-EE-NN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Other Allowance","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$অন্যান্য অধিেদয় ভাত্তা","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Other Allowance","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,2.088,2.088,2.2
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-02-01-EE-NN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Wages$Wages to Casual Employees","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$মজুৰি$অস্থায়ী কৰ্মচাৰীলৈ মজুৰি","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Wages","Wages to Casual Employees","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,4,4,1
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-05-01-EE-NN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Payment for Professional and Special Services$Remuneration for Professional Services","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$বৃত্তিগত আৰু বিশেষ সেৱাসমূহৰ বাবে পৰিশোধ$বৃত্তিগত সেৱাৰ বানচ","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Payment for Professional and Special Services","Remuneration for Professional Services","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,0.15,0.15,0.2
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-06-02-EE-NN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Rents, Rates & Taxes / Royalty$Rates &Taxes","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$ভাড়া, নিৰিখ আৰু কৰ/ ৰয়েল্টি$ভাড়া আৰু কৰ","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Rents, Rates & Taxes / Royalty","Rates &Taxes","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,1,1,1
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-08-99-EE-GA-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Advertising, Sales and Publicity Expenses$Others","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$বিজ্ঞাপন, বিক্ৰী আৰু প্ৰচাৰ ব্যয়$অন্যান্য","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Advertising, Sales and Publicity Expenses","Others","Establishmet Expenditure","General Area","Voted",0,2,2,2
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-08-99-EE-GA-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Advertising, Sales and Publicity Expenses$Others","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$বিজ্ঞাপন, বিক্ৰী আৰু প্ৰচাৰ ব্যয়$অন্যান্য","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Advertising, Sales and Publicity Expenses","Others","Establishmet Expenditure","General Area","Voted",0,1,1,1
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0152-000-08-99-EE-GA-C","Administration of Justice$NULL$High Courts$Establishment$NULL$Advertising, Sales and Publicity Expenses$Others","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$বিজ্ঞাপন, বিক্ৰী আৰু প্ৰচাৰ ব্যয়$অন্যান্য","Administration of Justice","NULL","High Courts","Establishment","NULL","Advertising, Sales and Publicity Expenses","Others","Establishmet Expenditure","General Area","Charged",0,2.5,2.5,2.5
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-08-99-EE-KN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Advertising, Sales and Publicity Expenses$Others","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$বিজ্ঞাপন, বিক্ৰী আৰু প্ৰচাৰ ব্যয়$অন্যান্য","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Advertising, Sales and Publicity Expenses","Others","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,0.25,0.25,0.25
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-08-99-EE-KN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Advertising, Sales and Publicity Expenses$Others","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$বিজ্ঞাপন, বিক্ৰী আৰু প্ৰচাৰ ব্যয়$অন্যান্য","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Advertising, Sales and Publicity Expenses","Others","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,0.25,0.25,0.25
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-08-99-EE-NN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Advertising, Sales and Publicity Expenses$Others","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$বিজ্ঞাপন, বিক্ৰী আৰু প্ৰচাৰ ব্যয়$অন্যান্য","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Advertising, Sales and Publicity Expenses","Others","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,0,0,0.25
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-08-99-EE-NN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Advertising, Sales and Publicity Expenses$Others","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$বিজ্ঞাপন, বিক্ৰী আৰু প্ৰচাৰ ব্যয়$অন্যান্য","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Advertising, Sales and Publicity Expenses","Others","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,0.1,0.1,0.1
"3 - Administration of justice","Guwahati High Court (R)","2041-00-800-3880-000-08-99-EE-GA-V","Taxes on Vehicles$NULL$Other Expenditure$Motor Accident Claim$NULL$Advertising, Sales and Publicity Expenses$Others","যান বাহনৰ ওপৰত কৰ$NULL$অন্যান্য ব্যয়$NULL$NULL$বিজ্ঞাপন, বিক্ৰী আৰু প্ৰচাৰ ব্যয়$অন্যান্য","Taxes on Vehicles","NULL","Other Expenditure","Motor Accident Claim","NULL","Advertising, Sales and Publicity Expenses","Others","Establishmet Expenditure","General Area","Voted",0,0.5,0.5,1
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0152-000-04-04-EE-GA-C","Administration of Justice$NULL$High Courts$Establishment$NULL$Office Expenses$Office Equipments including Computers & Accessories","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$কাৰ্য্যালয় ব্যয়$কম্পিউটাৰ আৰু সা-সঁজুলিকে ধৰি কাৰ্যালয়ৰ সঁজুলি","Administration of Justice","NULL","High Courts","Establishment","NULL","Office Expenses","Office Equipments including Computers & Accessories","Establishmet Expenditure","General Area","Charged",879.87,0,0,20
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-05-01-EE-GA-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Payment for Professional and Special Services$Remuneration for Professional Services","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$বৃত্তিগত আৰু বিশেষ সেৱাসমূহৰ বাবে পৰিশোধ$বৃত্তিগত সেৱাৰ বানচ","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Payment for Professional and Special Services","Remuneration for Professional Services","Establishmet Expenditure","General Area","Voted",85.46,175.5,175.5,175.5
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0152-000-05-01-EE-GA-C","Administration of Justice$NULL$High Courts$Establishment$NULL$Payment for Professional and Special Services$Remuneration for Professional Services","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$বৃত্তিগত আৰু বিশেষ সেৱাসমূহৰ বাবে পৰিশোধ$বৃত্তিগত সেৱাৰ বানচ","Administration of Justice","NULL","High Courts","Establishment","NULL","Payment for Professional and Special Services","Remuneration for Professional Services","Establishmet Expenditure","General Area","Charged",16.13,6.5,6.5,7.5
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-04-EE-NN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Other Allowance","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$অন্যান্য অধিেদয় ভাত্তা","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Other Allowance","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,1.986,1.986,3
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-02-01-EE-NN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Wages$Wages to Casual Employees","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$মজুৰি$অস্থায়ী কৰ্মচাৰীলৈ মজুৰি","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Wages","Wages to Casual Employees","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,0.1,0.1,0
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-05-01-EE-NN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Payment for Professional and Special Services$Remuneration for Professional Services","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$বৃত্তিগত আৰু বিশেষ সেৱাসমূহৰ বাবে পৰিশোধ$বৃত্তিগত সেৱাৰ বানচ","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Payment for Professional and Special Services","Remuneration for Professional Services","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,0.15,0.15,0.2
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-06-01-EE-NN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Rents, Rates & Taxes / Royalty$Rents for Hired Building","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$ভাড়া, নিৰিখ আৰু কৰ/ ৰয়েল্টি$ঘৰ ভাড়াৰ নিৰিখ","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Rents, Rates & Taxes / Royalty","Rents for Hired Building","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,4,4,4
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-06-01-EE-NN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Rents, Rates & Taxes / Royalty$Rents for Hired Building","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$ভাড়া, নিৰিখ আৰু কৰ/ ৰয়েল্টি$ঘৰ ভাড়াৰ নিৰিখ","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Rents, Rates & Taxes / Royalty","Rents for Hired Building","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,4,4,4
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-5948-000-26-99-EE-GA-V","Administration of Justice$NULL$Civil and Session Courts$Establishment of Special Court for Redressal of Land Grabbing$NULL$Other Charges$Others","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$$$অন্যান্য মাচুল$অন্যান্য","Administration of Justice","NULL","Civil and Session Courts","Establishment of Special Court for Redressal of Land Grabbing","NULL","Other Charges","Others","Establishmet Expenditure","General Area","Voted",0,10,10,0
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-03-EE-GA-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Interim Relief","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$অন্তৱৰ্তীকালীন সাহায্য","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Interim Relief","Establishmet Expenditure","General Area","Voted",0,0,304,345
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-19-EE-GA-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Hill Allowance","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$পাৰ্বত্য ভাত্তা","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Hill Allowance","Establishmet Expenditure","General Area","Voted",0,0,1,1
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-03-EE-GA-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Interim Relief","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$অন্তৱৰ্তীকালীন সাহায্য","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Interim Relief","Establishmet Expenditure","General Area","Voted",0,0,291,300
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-01-19-EE-GA-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Salaries$Hill Allowance","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$দৰমহা$পাৰ্বত্য ভাত্তা","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Salaries","Hill Allowance","Establishmet Expenditure","General Area","Voted",0,0,1,1
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-6864-000-04-99-TG-FFC-GA-V","Administration of Justice$NULL$Civil and Session Courts$Upgradation of Standard of Administration-14th Finance Commission$NULL$Office Expenses$Others","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$$$কাৰ্য্যালয় ব্যয়$অন্যান্য","Administration of Justice","NULL","Civil and Session Courts","Upgradation of Standard of Administration-14th Finance Commission","NULL","Office Expenses","Others","Transfer Grants to Finance Commission Grants","General Area","Voted",0,770,770,1000
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-6864-000-05-01-TG-FFC-GA-V","Administration of Justice$NULL$Civil and Session Courts$Upgradation of Standard of Administration-14th Finance Commission$NULL$Payment for Professional and Special Services$Remuneration for Professional Services","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$$$বৃত্তিগত আৰু বিশেষ সেৱাসমূহৰ বাবে পৰিশোধ$বৃত্তিগত সেৱাৰ বানচ","Administration of Justice","NULL","Civil and Session Courts","Upgradation of Standard of Administration-14th Finance Commission","NULL","Payment for Professional and Special Services","Remuneration for Professional Services","Transfer Grants to Finance Commission Grants","General Area","Voted",0,93.12,93.12,93.12
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-6864-000-26-03-TG-FFC-GA-V","Administration of Justice$NULL$Civil and Session Courts$Upgradation of Standard of Administration-14th Finance Commission$NULL$Other Charges$Training","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$$$অন্যান্য মাচুল$প্ৰশিক্ষণ","Administration of Justice","NULL","Civil and Session Courts","Upgradation of Standard of Administration-14th Finance Commission","NULL","Other Charges","Training","Transfer Grants to Finance Commission Grants","General Area","Voted",0,210.5,210.5,212
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-6864-000-26-99-TG-FFC-GA-V","Administration of Justice$NULL$Civil and Session Courts$Upgradation of Standard of Administration-14th Finance Commission$NULL$Other Charges$Others","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$$$অন্যান্য মাচুল$অন্যান্য","Administration of Justice","NULL","Civil and Session Courts","Upgradation of Standard of Administration-14th Finance Commission","NULL","Other Charges","Others","Transfer Grants to Finance Commission Grants","General Area","Voted",0,3400,3400,4000
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-03-01-EE-GA-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Travel Expenses$Regular","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$ ভ্ৰমণ খৰচ$","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Travel Expenses","Regular","Establishmet Expenditure","General Area","Voted",0,0,0,155
"3 - Administration of justice","Guwahati High Court (R)","2041-00-800-3880-000-03-01-EE-GA-V","Taxes on Vehicles$NULL$Other Expenditure$Motor Accident Claim$NULL$Travel Expenses$Regular","যান বাহনৰ ওপৰত কৰ$NULL$অন্যান্য ব্যয়$NULL$NULL$ ভ্ৰমণ খৰচ$","Taxes on Vehicles","NULL","Other Expenditure","Motor Accident Claim","NULL","Travel Expenses","Regular","Establishmet Expenditure","General Area","Voted",0,0,0,18
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-03-01-EE-GA-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Travel Expenses$Regular","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$ ভ্ৰমণ খৰচ$","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Travel Expenses","Regular","Establishmet Expenditure","General Area","Voted",0,0,0,100
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0304-000-03-01-EE-GA-C","Administration of Justice$NULL$High Courts$Judges$NULL$Travel Expenses$Regular","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$ ভ্ৰমণ খৰচ$","Administration of Justice","NULL","High Courts","Judges","NULL","Travel Expenses","Regular","Establishmet Expenditure","General Area","Charged",0,0,0,60
"3 - Administration of justice","Guwahati High Court (R)","2014-00-102-0152-000-03-01-EE-GA-C","Administration of Justice$NULL$High Courts$Establishment$NULL$Travel Expenses$Regular","ন্যায় প্ৰশাসন$NULL$উচ্চ ন্যায়ালয়$NULL$NULL$ ভ্ৰমণ খৰচ$","Administration of Justice","NULL","High Courts","Establishment","NULL","Travel Expenses","Regular","Establishmet Expenditure","General Area","Charged",0,0,0,45
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-19-EE-KN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Hill Allowance","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$পাৰ্বত্য ভাত্তা","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Hill Allowance","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,0,0,2
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-01-19-EE-NN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Salaries$Hill Allowance","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$দৰমহা$পাৰ্বত্য ভাত্তা","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Salaries","Hill Allowance","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,0,0,2
"3 - Administration of justice","Guwahati High Court (R)","2014-00-105-0000-000-03-01-EE-KN-V","Administration of Justice$NULL$Civil and Session Courts$NULL$NULL$Travel Expenses$Regular","ন্যায় প্ৰশাসন$NULL$দেৱানী আাদালত$NULL$NULL$ ভ্ৰমণ খৰচ$","Administration of Justice","NULL","Civil and Session Courts","NULL","NULL","Travel Expenses","Regular","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,0,0,6.5
"3 - Administration of justice","Guwahati High Court (R)","2014-00-108-0000-000-03-01-EE-KN-V","Administration of Justice$NULL$Criminal Courts$NULL$NULL$Travel Expenses$Regular","ন্যায় প্ৰশাসন$NULL$ফৌজদাৰী আাদালত$NULL$NULL$ ভ্ৰমণ খৰচ$","Administration of Justice","NULL","Criminal Courts","NULL","NULL","Travel Expenses","Regular","Establishmet Expenditure","Karbi Anglong Non-entrusted","Voted",0,0,0,2
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0168-000-01-01-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Pleader$NULL$Salaries$Pay","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$দৰমহা","Administration of Justice","NULL","Legal Advisers and Counsels","Government Pleader","NULL","Salaries","Pay","Establishmet Expenditure","General Area","Voted",114.66,125,125,280
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0168-000-01-02-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Pleader$NULL$Salaries$Dearness Allowance","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Administration of Justice","NULL","Legal Advisers and Counsels","Government Pleader","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","General Area","Voted",0,164,164,40
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0168-000-01-05-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Pleader$NULL$Salaries$Leave Travel Concession","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Administration of Justice","NULL","Legal Advisers and Counsels","Government Pleader","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","General Area","Voted",0,2.5,2.5,2.75
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0168-000-01-06-EE-NN-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Pleader$NULL$Salaries$Medical Allowance","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$চিকিৎসা ভাত্তা","Administration of Justice","NULL","Legal Advisers and Counsels","Government Pleader","NULL","Salaries","Medical Allowance","Establishmet Expenditure","North Cachar Non-entrusted","Voted",0,0.2,0.2,0.25
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0168-000-03-00-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Pleader$NULL$Travel Expenses$NULL","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Administration of Justice","NULL","Legal Advisers and Counsels","Government Pleader","NULL","Travel Expenses","NULL","Establishmet Expenditure","General Area","Voted",0.14,3,3,0
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0219-000-01-01-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Public  Prosecutor.$NULL$Salaries$Pay","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$দৰমহা","Administration of Justice","NULL","Legal Advisers and Counsels","Public  Prosecutor.","NULL","Salaries","Pay","Establishmet Expenditure","General Area","Voted",266.21,120.5,120.5,260
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0219-000-01-02-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Public  Prosecutor.$NULL$Salaries$Dearness Allowance","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$মৰগীয়া বানচ","Administration of Justice","NULL","Legal Advisers and Counsels","Public  Prosecutor.","NULL","Salaries","Dearness Allowance","Establishmet Expenditure","General Area","Voted",0,157.9,157.9,38
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0219-000-01-05-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Public  Prosecutor.$NULL$Salaries$Leave Travel Concession","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$ছুটী কালীন ভ্ৰমণ ৰেহাই","Administration of Justice","NULL","Legal Advisers and Counsels","Public  Prosecutor.","NULL","Salaries","Leave Travel Concession","Establishmet Expenditure","General Area","Voted",0,4,4,4
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0219-000-03-00-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Public  Prosecutor.$NULL$Travel Expenses$NULL","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$ ভ্ৰমণ খৰচ$NULL","Administration of Justice","NULL","Legal Advisers and Counsels","Public  Prosecutor.","NULL","Travel Expenses","NULL","Establishmet Expenditure","General Area","Voted",0.33,3,3,0
"3 - Administration of justice","Judicial Department (D)","2014-00-114-0287-000-01-01-EE-GA-V","Administration of Justice$NULL$Legal Advisers and Counsels$Government Advocate.$NULL$Salaries$Pay","ন্যায় প্ৰশাসন$NULL$আাইন উপদেষ্টা আাৰু পৰামৰ্শ দাতা$NULL$NULL$দৰমহা$দৰমহা","Administration of Justice","NULL","Legal Advisers and Counsels","Government Advocate.","NULL","Salaries","Pay","Establishmet Expenditure","General Area","Voted",246.16,130,130,186
